Year,Species,alive,dead
2015,SWO,1,0
2015,SWO,1,0
2015,SWO,1,0
2015,SWO,1,0
2015,SWO,1,0
2015,SWO,0,1
2015,SWO,1,0
2015,SWO,1,0
2016,SWO,1,0
2016,SWO,1,0
2016,SWO,1,0
2016,SWO,1,0
2016,SWO,1,0
2016,SWO,1,0
2016,SWO,1,0
2016,SWO,1,0
2016,SWO,1,0
2016,SWO,1,0
2017,SWO,0,1
2017,SWO,1,0
2017,SWO,1,0
2017,SWO,1,0
2017,SWO,1,0
2018,SWO,1,0
2018,SWO,1,0
2018,SWO,1,0
2018,SWO,1,0
2018,SWO,1,0
2018,SWO,1,0
2015,BUM,0,1
2015,BUM,1,0
2015,BUM,0,1
2015,BUM,1,0
2015,BUM,1,0
2015,BUM,1,0
2015,BUM,1,0
2015,BUM,1,0
2015,BUM,0,1
2015,BUM,1,0
2015,BUM,1,0
2015,BUM,1,0
2015,BUM,1,0
2015,BUM,1,0
2015,BUM,1,0
2016,BUM,1,0
2016,BUM,1,0
2016,BUM,1,0
2016,BUM,1,0
2016,BUM,1,0
2016,BUM,1,0
2016,BUM,1,0
2016,BUM,1,0
2016,BUM,1,0
2016,BUM,1,0
2016,BUM,1,0
2016,BUM,1,0
2017,BUM,1,0
2017,BUM,1,0
2017,SWO,1,0
2017,SWO,1,0
2017,SWO,1,0
2017,SWO,1,0
2017,SWO,0,1
2017,SWO,1,0
2017,SWO,1,0
2017,SWO,1,0
2017,SWO,1,0
2017,SWO,1,0
2017,SWO,1,0
2017,SWO,1,0
2018,SWO,1,0
2018,SWO,1,0
2018,SWO,1,0
2018,SWO,1,0
2018,SWO,1,0
2018,SWO,1,0
2018,SWO,1,0
2018,SWO,1,0
2018,SWO,1,0
2018,SWO,1,0
2018,SWO,1,0
2018,SWO,1,0
2018,SWO,1,0
2018,SWO,1,0
2018,SWO,1,0
2018,SWO,1,0
2018,SWO,1,0
2018,BUM,1,0
2018,BUM,1,0
2018,BUM,1,0
2015,BUM,1,0
2015,BUM,1,0
2015,BUM,1,0
2015,BUM,1,0
2015,BUM,0,1
2015,BUM,1,0
2015,BUM,1,0
2015,BUM,1,0
2016,BUM,1,0
2016,BUM,1,0
2016,BUM,1,0
2016,BUM,1,0
2016,BUM,1,0
2016,BUM,0,1
2016,BUM,1,0
2016,BUM,1,0
2016,BUM,1,0
2016,BUM,1,0
2017,BUM,1,0
2017,BUM,1,0
2017,BUM,1,0
2017,BUM,1,0
2017,BUM,1,0
2018,BUM,1,0
2018,BUM,1,0
2018,BUM,1,0
2018,SWO,1,0
2018,SWO,0,1
2018,SWO,1,0
2015,SWO,0,1
2015,SWO,1,0
2015,SWO,1,0
2015,SWO,0,1
2015,SWO,1,0
2015,SWO,1,0
2015,SWO,1,0
2015,SWO,1,0
2015,SWO,1,0
2015,SWO,1,0
2015,SWO,1,0
2015,SWO,1,0
2015,SWO,1,0
2015,SWO,1,0
2015,SWO,0,1
2016,SWO,1,0
2016,SWO,1,0
2016,SWO,1,0
2016,SWO,1,0
2016,SWO,1,0
2016,SWO,1,0
2016,SWO,1,0
2016,SWO,1,0
2016,SWO,0,1
2016,SWO,1,0
2016,SWO,1,0
2016,BUM,0,1
2017,BUM,1,0
2017,BUM,0,1
2017,BUM,1,0
2017,BUM,1,0
2017,BUM,1,0
2017,BUM,1,0
2017,BUM,1,0
2017,BUM,1,0
2017,BUM,1,0
2017,BUM,1,0
2017,BUM,1,0
2017,BUM,1,0
2017,BUM,1,0
2017,BUM,1,0
2018,BUM,1,0
2018,BUM,1,0
2018,BUM,1,0
2018,BUM,1,0
2018,BUM,1,0
2018,BUM,1,0
2018,BUM,1,0
2018,BUM,1,0
2018,BUM,1,0
2018,BUM,1,0
2018,BUM,1,0
2018,BUM,1,0
2018,BUM,1,0
2018,BUM,1,0
2018,SWO,0,1
2018,SWO,0,1
2018,SWO,1,0
2018,SWO,1,0
2018,SWO,1,0
2018,SWO,1,0
